id,inventory_item_id,transaction_type,quantity_delta,balance_after,reference,notes,occurred_at,created_by,created_at
61524a1f-9315-5250-a8a1-93ce278242d1,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-704.168,42500.0,ISS-RM-STEEL-BILLET-2026-09-05,Issued to production.,2026-09-05T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
4a01fdc1-34dd-5514-9e8e-1b14ca242ace,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-773.845,43204.168,ISS-RM-STEEL-BILLET-2026-09-04,Issued to production.,2026-09-04T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
34b4acfa-6e14-515e-bee2-b56fef8fb05e,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-870.418,43978.013,ISS-RM-STEEL-BILLET-2026-09-03,Issued to production.,2026-09-03T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
cec9ac19-1764-5dcf-a03e-739e70c2f235,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-656.192,44848.431,ISS-RM-STEEL-BILLET-2026-09-02,Issued to production.,2026-09-02T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
9fc5c161-fb26-56bb-a419-c5a20bb4c850,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-733.239,45504.623,ISS-RM-STEEL-BILLET-2026-09-01,Issued to production.,2026-09-01T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
392374f1-ead6-585e-97d7-0f26ec32e6a9,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-832.211,46237.862,ISS-RM-STEEL-BILLET-2026-08-31,Issued to production.,2026-08-31T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
2368848d-7ef6-5f4f-b718-198869767ae5,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-839.516,47070.073,ISS-RM-STEEL-BILLET-2026-08-29,Issued to production.,2026-08-29T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
2d34a305-dcc8-5559-9977-0f9ced3b351c,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-736.32,47909.589,ISS-RM-STEEL-BILLET-2026-08-28,Issued to production.,2026-08-28T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
549037b6-e20e-5160-9313-f832d93633ff,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-702.935,48645.909,ISS-RM-STEEL-BILLET-2026-08-27,Issued to production.,2026-08-27T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
5af2d1f5-7b20-5745-aaa7-b60a9ca25bb1,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-656.198,49348.844,ISS-RM-STEEL-BILLET-2026-08-26,Issued to production.,2026-08-26T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
509aae3b-db8e-521f-8ee7-47d3b5491977,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-897.924,50005.042,ISS-RM-STEEL-BILLET-2026-08-25,Issued to production.,2026-08-25T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
4193be6d-6f8e-582c-9822-e5fa999c15b8,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-905.752,50902.966,ISS-RM-STEEL-BILLET-2026-08-24,Issued to production.,2026-08-24T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
f7bc7afa-d4b8-5554-a688-0cac221dab2e,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-761.345,51808.718,ISS-RM-STEEL-BILLET-2026-08-22,Issued to production.,2026-08-22T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
a267da33-0dfb-53fe-9ea3-8e920e05c7e5,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-872.195,52570.063,ISS-RM-STEEL-BILLET-2026-08-21,Issued to production.,2026-08-21T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
a1b8e188-4f08-55d4-8184-d2659eb61f3e,afe44002-9c69-5696-9325-6488ce5f12a6,ISSUE,-893.329,53442.258,ISS-RM-STEEL-BILLET-2026-08-20,Issued to production.,2026-08-20T14:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
b8657bea-f5e9-58c1-bbad-312eb80c6e04,afe44002-9c69-5696-9325-6488ce5f12a6,RECEIPT,9935.894,54335.587,GRN-RM-STEEL-BILLET-2026-08-20,Goods received from Nordkraft Steel AB.,2026-08-20T10:00:00+00:00,a3326004-c6ac-5617-a46c-ac7418e1b55c,2026-09-06T09:02:29.920757+00:00
