id,code,name,machine_type,line_id,status,current_component_id,utilization_percentage,total_downtime_minutes,commissioned_date,last_maintenance_date,next_maintenance_date,created_at,updated_at
872d4ca8-5087-5d68-a59d-17df9ca838a8,CNC-T-001,CNC Turning Center 1,CNC_TURNING_CENTER,0a488a58-f45d-550b-8e16-feb5d935622d,RUNNING,b0fe7d40-daa6-5dd5-8ff7-1a8e35c314c5,92.77,1003,2021-03-15,2026-08-24,2026-10-08,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
fc549f07-c9f7-536f-b576-3bb39733470e,CNC-M-002,CNC Milling Center 2,CNC_MILLING_CENTER,0a488a58-f45d-550b-8e16-feb5d935622d,RUNNING,3e422a3b-8a18-58de-80f2-7d0f5a98c795,90.76,1202,2021-06-02,2026-08-15,2026-09-29,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
732244c8-4e7c-5339-ae77-f451ab324857,GRD-G-003,Grinding Machine 3,GRINDING_MACHINE,0a488a58-f45d-550b-8e16-feb5d935622d,IDLE,,95.66,1210,2020-11-08,2026-08-15,2026-09-29,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
b9fc1d56-710a-57da-8350-d1e2808446d6,INS-I-004,Inspection Station 4,INSPECTION_STATION,0a488a58-f45d-550b-8e16-feb5d935622d,RUNNING,b0fe7d40-daa6-5dd5-8ff7-1a8e35c314c5,94.32,231,2022-01-20,2026-08-30,2026-10-14,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
2c17ec1a-308d-5986-97de-e4ec4209bda2,CNC-T-005,CNC Turning Center 5,CNC_TURNING_CENTER,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,RUNNING,f6b2ea38-8cba-5b62-853a-49146b84803f,93.59,887,2021-09-12,2026-07-29,2026-09-12,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
a6a62444-5faf-5231-b950-8609aeccfe05,VMC-V-006,Vertical Machining Center 6,VERTICAL_MACHINING_CENTER,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,RUNNING,7640fa0b-d04b-51f5-bbfa-15e8edf8d6a0,93.55,1605,2020-05-30,2026-08-08,2026-09-22,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
b0779bdc-52ba-5df5-aa12-69c43b81d58c,HTU-H-007,Heat Treatment Unit 7,HEAT_TREATMENT_UNIT,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,MAINTENANCE,,69.91,2857,2019-08-14,2026-08-15,2026-09-29,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
d4aaaa0f-187a-5329-8085-b81c722f3da0,ASM-A-008,Assembly Station 8,ASSEMBLY_STATION,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,RUNNING,aba05b6d-bbfa-55c8-91ea-89d87edd3cee,90.67,637,2022-04-05,2026-09-03,2026-10-18,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
8060afd2-cbf7-5fd4-8032-753cbe979e11,CNC-M-009,CNC Milling Center 9,CNC_MILLING_CENTER,d0d1c5ae-5804-564b-93f3-4f8197e88acc,RUNNING,7a7a3fdb-6391-53f9-8bd9-df3407629f76,91.0,2598,2020-02-18,2026-07-28,2026-09-11,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
fcb95d61-dbd4-50e9-ae34-a972811f6987,VMC-V-010,Vertical Machining Center 10,VERTICAL_MACHINING_CENTER,d0d1c5ae-5804-564b-93f3-4f8197e88acc,OFFLINE,,45.9,3688,2019-04-22,2026-08-28,2026-10-12,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
fbb572df-0fee-5896-8407-b2234dc570f9,INS-I-011,Inspection Station 11,INSPECTION_STATION,d0d1c5ae-5804-564b-93f3-4f8197e88acc,IDLE,,97.16,423,2022-07-09,2026-08-06,2026-09-20,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
cd81dc20-a710-54b8-b55e-88617b740c7d,CNC-T-012,CNC Turning Center 12,CNC_TURNING_CENTER,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,RUNNING,ddfaa455-1f92-559f-8e2e-2e4b0733758a,97.16,459,2021-11-03,2026-08-05,2026-09-19,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
0129397d-f8ca-5e1b-8d03-899036ea9028,GRD-G-013,Grinding Machine 13,GRINDING_MACHINE,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,RUNNING,274c3d65-43dd-5c12-a6d1-7f5e1027d70c,87.3,1620,2020-09-27,2026-08-21,2026-10-05,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
d76b5a1a-8d30-571b-b86b-90c6706f4108,ASM-A-014,Assembly Station 14,ASSEMBLY_STATION,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,MAINTENANCE,,79.75,1280,2019-12-11,2026-07-27,2026-09-10,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
