id,machine_id,maintenance_type,status,scheduled_date,started_at,completed_at,downtime_minutes,technician,description,cost,reference,created_at,updated_at
3288a577-092a-50d7-a6fd-41a096e7e0a3,872d4ca8-5087-5d68-a59d-17df9ca838a8,PREVENTIVE,COMPLETED,2026-08-24,2026-08-24T08:00:00+00:00,2026-08-24T11:46:00+00:00,226,S. Iqbal,Scheduled preventive service for CNC Turning Center 1.,787.34,PM-CNC-T-001-2026-08-24,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
9c276bc9-7441-5b71-ba37-8023b40c826d,872d4ca8-5087-5d68-a59d-17df9ca838a8,PREVENTIVE,COMPLETED,2026-07-10,2026-07-10T08:00:00+00:00,2026-07-10T11:16:00+00:00,196,R. Persson,Scheduled preventive service for CNC Turning Center 1.,295.78,PM-CNC-T-001-2026-07-10,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
174f4318-8b8b-5727-aeb8-f69d79cbd002,872d4ca8-5087-5d68-a59d-17df9ca838a8,PREVENTIVE,SCHEDULED,2026-10-08,,,0,,Next preventive service due for CNC Turning Center 1.,,PM-CNC-T-001-2026-10-08-NEXT,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
8728687b-f17d-552a-93cc-916cf8d6f6b7,fc549f07-c9f7-536f-b576-3bb39733470e,PREVENTIVE,COMPLETED,2026-08-15,2026-08-15T08:00:00+00:00,2026-08-15T13:21:00+00:00,321,L. Fournier,Scheduled preventive service for CNC Milling Center 2.,1280.16,PM-CNC-M-002-2026-08-15,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
50f5165e-b872-541b-b381-061bcee9c410,fc549f07-c9f7-536f-b576-3bb39733470e,PREVENTIVE,COMPLETED,2026-07-01,2026-07-01T08:00:00+00:00,2026-07-01T11:44:00+00:00,224,R. Persson,Scheduled preventive service for CNC Milling Center 2.,405.78,PM-CNC-M-002-2026-07-01,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
0283a7d4-c7d1-5277-a328-9fc16b697039,fc549f07-c9f7-536f-b576-3bb39733470e,PREVENTIVE,SCHEDULED,2026-09-29,,,0,,Next preventive service due for CNC Milling Center 2.,,PM-CNC-M-002-2026-09-29-NEXT,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
599f0582-f6df-523f-903b-7ac9f134c2f1,732244c8-4e7c-5339-ae77-f451ab324857,PREVENTIVE,COMPLETED,2026-08-15,2026-08-15T08:00:00+00:00,2026-08-15T13:39:00+00:00,339,R. Persson,Scheduled preventive service for Grinding Machine 3.,1394.65,PM-GRD-G-003-2026-08-15,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
70937827-19e5-5970-ac8e-d93eecbf32ce,732244c8-4e7c-5339-ae77-f451ab324857,PREVENTIVE,COMPLETED,2026-07-01,2026-07-01T08:00:00+00:00,2026-07-01T12:31:00+00:00,271,S. Iqbal,Scheduled preventive service for Grinding Machine 3.,1288.67,PM-GRD-G-003-2026-07-01,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
a514c160-dd4b-5042-aaa2-e5414ecb6d70,732244c8-4e7c-5339-ae77-f451ab324857,PREVENTIVE,SCHEDULED,2026-09-29,,,0,,Next preventive service due for Grinding Machine 3.,,PM-GRD-G-003-2026-09-29-NEXT,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
7b8aad49-9afb-5b09-859f-906e02018a10,b9fc1d56-710a-57da-8350-d1e2808446d6,PREVENTIVE,COMPLETED,2026-08-30,2026-08-30T08:00:00+00:00,2026-08-30T10:04:00+00:00,124,L. Fournier,Scheduled preventive service for Inspection Station 4.,1381.95,PM-INS-I-004-2026-08-30,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
